image_id,type,taxonomy,vernacular_names,calories,carbohydrate,proteins,total_fat,cholesterol,dietary_fiber,glucose,fructose,sucrose,folate,niacin,pantothenic_acid,pyridoxine,riboflavin,thiamin,vit_a,vit_e,vit_c,vit_k,vit_b12,selenium,sodium,potassium,calcium,copper,iron,magnesium,manganese,phosphorus,zinc,water,polyphenols,flavonoids,carotenoids,tannins,Energy (Kcal),Carbohydrates (g),Proteins (g),Total Fat (g),Cholesterol (mg),Dietary Fiber (g),Folate (µg),Niacin (mg),Pantothenic Acid (mg),Pyridoxine (mg),Riboflavin (mg),Thiamin (mg),Vitamin A (IU),Vitamin C (mg),Vitamin K (µg),Sodium (mg),Potassium (mg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Zinc (mg),Carotene-ß (µg),Crypto-xanthin-ß (µg),Lutein Zeaxanthin (µg)
Amber_084,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.38,1.88,0.15,0.0,6.81,64.3,41.29,60.13,15.44,1.61,0.83,0.26,0.06,0.05,152.34,0.21,0.0,2.73,0.0,0.2,1.03,722.57,63.92,0.36,0.92,55.11,0.31,64.24,0.45,20.64,0.52,0.5,0.31,1.04,282.72,74.75,1.89,0.16,0.0,6.76,15.41,1.62,0.84,0.26,0.06,0.05,149.61,0.0,2.72,1.0,717.86,64.82,0.38,0.9,54.66,0.3,64.25,0.44,91.28,0.0,24.1
Amber_085,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.36,1.85,0.16,0.0,6.86,65.47,41.38,60.05,15.05,1.68,0.8,0.25,0.06,0.05,154.47,0.21,0.0,2.81,0.0,0.21,1.04,723.21,64.57,0.37,0.91,54.98,0.31,64.71,0.46,20.81,0.51,0.51,0.3,1.05,285.77,77.74,1.87,0.15,0.0,6.71,15.56,1.63,0.82,0.26,0.06,0.05,155.87,0.0,2.76,1.03,725.02,66.06,0.37,0.94,55.29,0.31,64.5,0.45,92.59,0.0,23.65
Amber_086,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.07,1.85,0.16,0.0,6.86,63.82,40.04,60.64,15.69,1.61,0.84,0.25,0.06,0.05,152.13,0.2,0.0,2.82,0.0,0.2,1.01,701.3,65.05,0.36,0.92,56.16,0.31,64.75,0.46,20.64,0.5,0.5,0.31,1.0,290.4,76.68,1.84,0.15,0.0,6.85,15.56,1.63,0.84,0.25,0.06,0.05,155.86,0.0,2.69,1.03,695.29,64.81,0.37,0.92,55.54,0.3,63.66,0.45,91.46,0.0,23.59
Amber_087,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.32,1.89,0.16,0.0,7.03,64.38,40.61,62.21,15.49,1.65,0.81,0.25,0.06,0.05,151.13,0.2,0.0,2.74,0.0,0.21,1.02,701.98,66.89,0.37,0.93,55.95,0.3,64.57,0.44,20.25,0.52,0.51,0.31,1.04,279.99,75.6,1.81,0.16,0.0,7.03,15.55,1.65,0.83,0.26,0.06,0.05,151.32,0.0,2.78,1.01,713.0,66.8,0.37,0.94,54.77,0.31,62.05,0.46,92.09,0.0,23.78
Amber_088,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.16,1.87,0.15,0.0,6.91,64.44,41.11,61.13,15.26,1.62,0.81,0.25,0.06,0.05,149.1,0.2,0.0,2.81,0.0,0.2,1.04,720.47,63.94,0.37,0.94,55.51,0.3,64.9,0.45,20.27,0.5,0.52,0.31,1.01,284.28,74.98,1.87,0.15,0.0,6.8,15.18,1.64,0.82,0.25,0.06,0.05,153.11,0.0,2.81,1.0,719.39,67.13,0.37,0.92,55.74,0.31,62.48,0.44,91.65,0.0,23.96
Amber_089,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.15,1.84,0.15,0.0,6.8,65.96,41.6,61.06,15.65,1.64,0.82,0.25,0.06,0.05,155.1,0.21,0.0,2.71,0.0,0.21,1.01,714.57,66.32,0.37,0.93,55.54,0.3,62.52,0.45,20.12,0.5,0.52,0.31,1.04,281.1,75.44,1.82,0.15,0.0,6.77,15.52,1.67,0.84,0.26,0.06,0.05,154.8,0.0,2.73,1.0,715.87,64.93,0.37,0.91,54.97,0.31,62.15,0.44,93.28,0.0,23.48
Amber_090,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.49,1.88,0.16,0.0,6.71,64.27,40.55,62.63,15.45,1.64,0.83,0.25,0.06,0.05,154.25,0.21,0.0,2.74,0.0,0.21,1.04,712.91,66.85,0.37,0.94,54.51,0.31,63.32,0.45,20.99,0.5,0.52,0.31,1.01,283.03,77.15,1.83,0.15,0.0,6.75,15.21,1.68,0.81,0.25,0.06,0.05,150.99,0.0,2.78,1.03,694.5,64.57,0.38,0.9,54.09,0.31,64.15,0.46,89.0,0.0,23.8
Amber_091,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.49,1.81,0.15,0.0,6.87,66.08,40.82,61.29,15.09,1.69,0.83,0.25,0.06,0.05,150.45,0.2,0.0,2.73,0.0,0.21,1.02,729.51,66.86,0.38,0.91,55.82,0.3,63.37,0.45,19.98,0.5,0.52,0.3,1.03,277.45,78.06,1.81,0.15,0.0,6.76,15.36,1.67,0.84,0.25,0.06,0.05,153.46,0.0,2.69,1.04,706.45,64.18,0.38,0.91,54.62,0.31,64.82,0.45,92.89,0.0,23.8
Amber_092,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.58,1.81,0.15,0.0,6.72,66.18,40.76,62.89,15.74,1.69,0.83,0.25,0.06,0.05,152.46,0.2,0.0,2.71,0.0,0.2,1.02,717.72,66.9,0.38,0.92,54.27,0.3,63.95,0.46,20.76,0.52,0.51,0.3,1.0,278.59,76.11,1.86,0.15,0.0,6.93,15.02,1.66,0.84,0.25,0.06,0.05,152.51,0.0,2.71,1.05,696.56,64.26,0.38,0.94,55.29,0.3,63.43,0.44,88.96,0.0,23.77
Amber_093,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.55,1.89,0.15,0.0,6.8,65.32,39.91,60.41,15.02,1.61,0.81,0.26,0.06,0.05,153.31,0.21,0.0,2.71,0.0,0.2,1.03,721.59,63.82,0.38,0.94,56.66,0.31,63.18,0.45,20.28,0.51,0.52,0.31,1.01,277.54,77.18,1.85,0.15,0.0,6.85,15.05,1.69,0.83,0.26,0.06,0.05,153.81,0.0,2.83,1.05,704.11,66.83,0.36,0.92,55.21,0.31,62.61,0.46,92.9,0.0,23.68
Amber_094,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.64,1.82,0.15,0.0,7.03,66.15,41.18,60.45,15.7,1.66,0.81,0.25,0.06,0.05,151.89,0.21,0.0,2.81,0.0,0.21,1.04,724.15,65.55,0.37,0.9,56.49,0.3,63.82,0.45,20.64,0.52,0.52,0.31,1.02,284.29,78.51,1.83,0.16,0.0,7.02,15.03,1.61,0.84,0.26,0.06,0.05,151.27,0.0,2.76,1.04,701.94,64.03,0.37,0.92,56.38,0.31,64.59,0.44,90.36,0.0,23.08
Amber_095,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.09,1.87,0.15,0.0,6.92,65.52,40.36,62.37,15.65,1.63,0.83,0.25,0.06,0.05,156.26,0.21,0.0,2.73,0.0,0.21,1.01,703.91,67.1,0.36,0.94,54.33,0.31,64.06,0.44,20.01,0.51,0.52,0.3,1.01,290.42,75.28,1.81,0.15,0.0,6.76,15.47,1.66,0.84,0.26,0.06,0.05,153.63,0.0,2.74,1.04,694.84,64.89,0.37,0.91,55.58,0.3,65.06,0.44,89.93,0.0,23.17
Amber_096,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.48,1.81,0.15,0.0,7.0,64.26,40.34,61.49,15.08,1.68,0.85,0.26,0.06,0.05,154.18,0.21,0.0,2.79,0.0,0.2,1.04,703.02,65.31,0.37,0.92,56.69,0.3,63.28,0.46,20.64,0.5,0.5,0.3,1.01,290.36,78.62,1.87,0.15,0.0,6.86,15.33,1.64,0.82,0.25,0.06,0.05,154.84,0.0,2.7,1.01,702.4,66.04,0.37,0.91,54.62,0.3,64.28,0.46,89.91,0.0,23.61
Amber_097,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.87,1.88,0.15,0.0,6.72,65.53,40.07,61.37,15.45,1.67,0.83,0.25,0.06,0.05,152.64,0.2,0.0,2.74,0.0,0.21,1.02,727.88,64.31,0.37,0.9,53.92,0.3,63.91,0.44,20.53,0.51,0.5,0.31,1.02,288.16,77.15,1.81,0.15,0.0,6.8,15.58,1.62,0.81,0.26,0.06,0.05,154.4,0.0,2.82,1.04,703.72,66.12,0.38,0.93,54.75,0.31,62.43,0.44,92.41,0.0,23.41
Amber_098,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.55,1.82,0.15,0.0,6.74,66.99,41.58,60.12,15.18,1.67,0.8,0.26,0.06,0.05,154.56,0.21,0.0,2.72,0.0,0.21,1.03,710.49,64.11,0.37,0.91,56.28,0.31,63.89,0.44,20.29,0.51,0.51,0.3,1.01,288.63,78.08,1.9,0.15,0.0,7.03,15.28,1.63,0.81,0.26,0.06,0.05,150.7,0.0,2.75,1.03,707.18,65.33,0.37,0.92,56.33,0.3,62.16,0.44,91.19,0.0,23.67
Amber_099,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.58,1.83,0.15,0.0,6.99,67.05,41.93,61.11,15.28,1.67,0.84,0.26,0.06,0.05,152.91,0.2,0.0,2.76,0.0,0.21,1.03,721.0,66.28,0.38,0.9,56.24,0.31,62.44,0.45,20.32,0.5,0.51,0.31,1.01,284.93,75.57,1.81,0.15,0.0,6.8,15.38,1.63,0.81,0.25,0.06,0.05,155.48,0.0,2.73,1.05,697.78,66.85,0.37,0.92,54.85,0.31,62.91,0.46,90.84,0.0,23.57
Amber_100,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.21,1.87,0.15,0.0,6.72,64.03,40.79,61.86,15.35,1.62,0.83,0.26,0.06,0.05,152.56,0.2,0.0,2.79,0.0,0.2,1.03,704.91,67.04,0.36,0.9,54.36,0.31,64.9,0.46,20.58,0.51,0.52,0.31,1.02,286.41,76.83,1.83,0.15,0.0,6.96,15.28,1.64,0.81,0.25,0.06,0.05,150.61,0.0,2.78,1.04,711.86,66.37,0.36,0.92,54.5,0.31,64.84,0.45,89.28,0.0,23.79
Amber_101,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.61,1.89,0.15,0.0,6.86,66.62,41.26,62.53,14.98,1.63,0.83,0.26,0.06,0.05,151.97,0.21,0.0,2.78,0.0,0.2,1.01,700.99,65.19,0.37,0.93,54.17,0.31,63.08,0.44,20.48,0.51,0.51,0.31,1.04,282.67,74.9,1.82,0.15,0.0,6.96,15.02,1.68,0.81,0.25,0.06,0.05,154.68,0.0,2.73,1.0,698.25,67.19,0.36,0.94,55.24,0.31,62.18,0.46,92.54,0.0,22.99
Amber_102,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.05,1.85,0.15,0.0,6.78,65.08,41.1,62.27,15.65,1.66,0.82,0.25,0.06,0.05,152.26,0.21,0.0,2.82,0.0,0.2,1.04,727.72,66.27,0.37,0.93,54.62,0.31,63.29,0.45,20.42,0.51,0.51,0.31,1.0,283.27,76.42,1.85,0.15,0.0,6.92,15.57,1.63,0.81,0.26,0.06,0.05,150.3,0.0,2.79,1.05,713.46,64.6,0.37,0.91,55.95,0.3,63.6,0.44,90.97,0.0,23.88
Amber_103,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.99,1.89,0.15,0.0,7.0,66.74,40.06,59.98,15.22,1.64,0.83,0.25,0.06,0.05,148.85,0.21,0.0,2.76,0.0,0.2,1.03,709.59,65.31,0.36,0.92,53.96,0.3,62.89,0.45,20.91,0.5,0.51,0.31,1.01,288.54,77.17,1.84,0.15,0.0,6.82,15.14,1.61,0.83,0.25,0.06,0.05,149.19,0.0,2.8,1.04,729.31,66.69,0.38,0.93,55.37,0.31,64.34,0.44,90.43,0.0,23.28
Amber_104,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.46,1.85,0.15,0.0,6.82,66.5,40.99,63.0,15.27,1.62,0.8,0.26,0.06,0.05,151.26,0.2,0.0,2.7,0.0,0.21,1.01,718.98,64.7,0.36,0.94,55.69,0.3,63.26,0.45,20.36,0.51,0.51,0.31,1.02,279.61,75.27,1.84,0.15,0.0,6.97,15.23,1.63,0.84,0.25,0.06,0.05,148.77,0.0,2.76,1.02,704.86,64.58,0.37,0.92,56.05,0.3,63.37,0.46,89.88,0.0,23.49
Amber_105,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.2,1.88,0.15,0.0,6.86,65.2,41.2,60.77,15.46,1.65,0.81,0.26,0.06,0.05,154.31,0.2,0.0,2.78,0.0,0.21,1.02,719.71,66.78,0.37,0.91,55.59,0.3,62.61,0.45,20.59,0.5,0.51,0.31,1.0,285.64,75.61,1.83,0.16,0.0,6.78,15.25,1.65,0.83,0.26,0.06,0.05,150.46,0.0,2.81,1.05,717.82,64.81,0.38,0.92,56.36,0.3,64.84,0.45,93.05,0.0,23.71
Amber_106,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.67,1.82,0.15,0.0,6.83,64.41,41.54,62.35,15.75,1.66,0.84,0.26,0.06,0.05,154.15,0.2,0.0,2.79,0.0,0.2,1.03,696.96,64.62,0.37,0.93,55.73,0.3,63.75,0.44,20.11,0.51,0.51,0.31,1.0,278.37,77.49,1.87,0.15,0.0,6.97,14.96,1.65,0.84,0.25,0.06,0.05,154.06,0.0,2.8,1.03,729.61,65.24,0.36,0.93,54.59,0.3,64.45,0.45,91.34,0.0,23.17
Amber_107,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.65,1.88,0.16,0.0,7.03,65.83,41.85,62.79,15.4,1.69,0.84,0.25,0.06,0.05,154.79,0.21,0.0,2.75,0.0,0.2,1.0,725.01,65.49,0.36,0.94,55.75,0.3,64.64,0.46,20.45,0.51,0.5,0.31,1.03,280.68,78.61,1.87,0.15,0.0,6.79,15.17,1.66,0.84,0.26,0.06,0.05,156.36,0.0,2.75,1.0,711.61,66.15,0.38,0.9,54.81,0.3,64.6,0.45,91.42,0.0,23.05
Amber_108,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,74.88,1.83,0.16,0.0,6.77,65.25,40.69,60.5,15.44,1.63,0.81,0.25,0.06,0.05,150.7,0.21,0.0,2.78,0.0,0.2,1.03,719.19,66.48,0.36,0.91,55.23,0.3,62.24,0.46,20.68,0.52,0.5,0.31,1.03,286.54,78.66,1.88,0.15,0.0,6.77,14.97,1.61,0.84,0.26,0.06,0.05,155.04,0.0,2.74,1.03,716.61,66.63,0.37,0.93,55.77,0.31,64.99,0.46,89.19,0.0,23.18
Amber_109,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.7,1.89,0.15,0.0,6.88,65.05,41.6,59.93,15.07,1.68,0.83,0.25,0.06,0.05,149.33,0.21,0.0,2.76,0.0,0.2,1.05,718.39,64.71,0.36,0.93,54.37,0.3,64.91,0.45,20.66,0.51,0.51,0.31,1.01,281.73,75.0,1.89,0.15,0.0,6.72,15.57,1.64,0.84,0.25,0.06,0.05,153.72,0.0,2.81,1.03,703.12,64.23,0.37,0.94,56.68,0.31,62.78,0.44,89.85,0.0,23.38
Amber_110,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.62,1.88,0.16,0.0,7.01,63.99,41.88,60.71,15.02,1.67,0.8,0.26,0.06,0.05,155.78,0.2,0.0,2.82,0.0,0.2,1.02,704.57,65.24,0.37,0.92,55.85,0.3,63.44,0.45,20.09,0.5,0.52,0.31,1.05,277.81,78.62,1.89,0.15,0.0,6.74,15.74,1.63,0.81,0.26,0.06,0.05,151.8,0.0,2.7,1.01,722.23,66.96,0.38,0.94,56.58,0.3,62.76,0.45,90.15,0.0,23.72
Amber_111,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.03,1.84,0.15,0.0,6.73,64.9,40.08,61.03,15.37,1.65,0.84,0.26,0.06,0.05,154.78,0.21,0.0,2.71,0.0,0.2,1.02,704.27,65.97,0.37,0.91,55.79,0.3,62.54,0.45,20.25,0.51,0.52,0.31,1.02,284.92,76.15,1.86,0.15,0.0,6.9,15.34,1.63,0.84,0.26,0.06,0.05,150.38,0.0,2.74,1.01,707.3,65.67,0.37,0.93,56.7,0.3,64.13,0.45,90.31,0.0,23.2
Amber_112,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.83,1.83,0.16,0.0,6.9,65.4,41.5,61.4,15.66,1.64,0.83,0.25,0.06,0.05,152.69,0.21,0.0,2.7,0.0,0.21,1.01,726.43,66.97,0.36,0.93,54.28,0.31,64.18,0.44,20.39,0.51,0.51,0.3,1.03,288.53,77.22,1.89,0.15,0.0,6.94,15.71,1.68,0.81,0.26,0.06,0.05,150.81,0.0,2.81,1.0,723.29,67.13,0.38,0.9,56.09,0.31,63.23,0.45,92.96,0.0,23.54
Amber_113,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.87,1.85,0.16,0.0,6.69,65.12,40.5,60.81,15.48,1.62,0.81,0.25,0.06,0.05,153.59,0.21,0.0,2.82,0.0,0.2,1.03,725.44,66.06,0.38,0.91,54.27,0.31,64.92,0.45,20.48,0.5,0.51,0.31,1.01,290.51,74.76,1.85,0.15,0.0,7.0,15.31,1.66,0.82,0.25,0.06,0.05,151.71,0.0,2.76,1.02,722.19,64.89,0.37,0.9,54.54,0.31,62.3,0.46,93.34,0.0,23.43
Amber_114,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.3,1.81,0.15,0.0,6.74,64.57,40.46,62.56,15.55,1.61,0.83,0.26,0.06,0.05,151.85,0.21,0.0,2.82,0.0,0.21,1.04,722.02,66.92,0.36,0.92,56.66,0.31,62.68,0.45,19.94,0.52,0.51,0.31,1.04,290.3,78.27,1.9,0.15,0.0,6.92,15.28,1.62,0.82,0.26,0.06,0.05,150.96,0.0,2.7,1.05,704.74,66.12,0.37,0.91,55.51,0.31,64.5,0.45,91.29,0.0,23.26
Amber_115,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.01,1.87,0.15,0.0,6.74,66.86,41.73,62.47,15.07,1.63,0.8,0.25,0.06,0.05,156.18,0.21,0.0,2.7,0.0,0.2,1.01,702.54,65.2,0.37,0.93,54.67,0.3,61.84,0.45,20.42,0.52,0.51,0.3,1.02,287.79,78.37,1.87,0.15,0.0,6.69,15.46,1.64,0.83,0.25,0.06,0.05,153.48,0.0,2.76,1.02,701.39,65.49,0.38,0.94,55.48,0.31,63.92,0.46,92.98,0.0,23.55
Amber_116,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.31,1.85,0.16,0.0,6.68,64.54,41.16,60.93,15.37,1.61,0.83,0.25,0.06,0.05,148.62,0.2,0.0,2.73,0.0,0.2,1.02,712.04,63.95,0.37,0.93,55.09,0.31,64.74,0.46,20.18,0.52,0.5,0.3,1.03,290.65,74.75,1.84,0.15,0.0,6.85,15.53,1.67,0.83,0.25,0.06,0.05,153.59,0.0,2.7,1.03,704.41,66.73,0.36,0.9,56.67,0.31,64.47,0.46,92.81,0.0,24.0
Amber_117,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.6,1.87,0.15,0.0,6.86,64.69,41.52,61.1,15.06,1.65,0.82,0.26,0.06,0.05,154.83,0.21,0.0,2.74,0.0,0.2,1.04,715.82,65.89,0.36,0.92,55.36,0.31,62.45,0.45,20.56,0.52,0.51,0.31,1.04,285.66,77.63,1.87,0.15,0.0,6.93,15.01,1.63,0.83,0.25,0.06,0.05,149.48,0.0,2.74,1.05,723.25,64.51,0.38,0.93,54.47,0.31,63.64,0.45,91.98,0.0,23.42
Amber_118,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.25,1.87,0.15,0.0,6.82,66.97,40.49,60.04,15.72,1.68,0.83,0.25,0.06,0.05,152.66,0.2,0.0,2.8,0.0,0.2,1.02,721.63,65.46,0.38,0.94,56.24,0.3,64.84,0.45,20.4,0.5,0.52,0.31,1.03,281.42,77.66,1.86,0.16,0.0,6.79,15.22,1.61,0.83,0.26,0.06,0.05,150.36,0.0,2.7,1.04,726.12,64.2,0.37,0.94,56.24,0.31,64.36,0.46,91.52,0.0,23.37
Amber_119,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.05,1.89,0.16,0.0,7.02,66.78,41.17,61.18,15.41,1.67,0.81,0.25,0.06,0.05,153.27,0.21,0.0,2.79,0.0,0.2,1.05,697.7,66.23,0.38,0.94,54.72,0.3,64.33,0.45,20.35,0.51,0.5,0.3,1.01,278.4,76.7,1.87,0.15,0.0,6.95,15.36,1.69,0.84,0.25,0.06,0.05,154.87,0.0,2.72,1.01,714.89,66.34,0.38,0.93,54.42,0.3,62.09,0.46,88.97,0.0,23.82
Amber_120,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.38,1.81,0.15,0.0,7.02,65.54,41.09,59.84,15.33,1.63,0.84,0.26,0.06,0.05,150.15,0.2,0.0,2.82,0.0,0.21,1.01,708.88,66.68,0.37,0.91,55.82,0.3,65.08,0.45,20.97,0.52,0.51,0.3,1.01,281.13,76.12,1.87,0.15,0.0,6.99,15.35,1.68,0.81,0.25,0.06,0.05,156.36,0.0,2.71,1.01,725.53,66.48,0.37,0.93,54.95,0.31,64.09,0.46,88.95,0.0,23.24
Amber_121,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.15,1.87,0.15,0.0,7.03,65.43,41.2,60.3,15.42,1.61,0.83,0.26,0.06,0.05,154.75,0.2,0.0,2.81,0.0,0.21,1.0,705.75,67.09,0.38,0.94,56.45,0.3,62.95,0.44,20.38,0.51,0.5,0.3,1.02,276.34,76.9,1.89,0.15,0.0,6.99,15.71,1.68,0.8,0.25,0.06,0.05,156.03,0.0,2.74,1.01,709.08,66.18,0.38,0.91,54.68,0.3,61.9,0.45,90.88,0.0,23.49
Amber_122,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.25,1.87,0.15,0.0,6.71,65.86,40.42,62.67,15.54,1.65,0.83,0.25,0.06,0.05,149.84,0.2,0.0,2.78,0.0,0.21,1.03,723.76,65.41,0.36,0.93,54.68,0.31,64.53,0.45,20.55,0.52,0.52,0.31,1.01,286.6,75.07,1.82,0.16,0.0,6.86,14.97,1.62,0.8,0.26,0.06,0.05,156.0,0.0,2.69,1.03,713.6,63.86,0.38,0.91,54.54,0.3,64.17,0.45,89.56,0.0,23.91
Amber_123,Amber,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.32,1.86,0.15,0.0,6.86,65.58,40.67,62.1,15.0,1.69,0.83,0.26,0.06,0.05,150.55,0.2,0.0,2.78,0.0,0.21,1.01,698.88,67.19,0.37,0.94,56.68,0.31,64.88,0.45,20.36,0.52,0.51,0.31,1.03,281.78,74.8,1.85,0.15,0.0,6.84,15.11,1.64,0.84,0.26,0.06,0.05,151.74,0.0,2.76,1.04,716.03,66.41,0.37,0.93,55.0,0.31,63.59,0.45,90.56,0.0,24.02
